Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date,Profit Percentage
Mindscape,227700,Thriller,StudioCanal,4357373,1200000,"A man with the ability to enter peoples' memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",2013-10-13,-263.11441666666667
The Incredible Burt Wonderstone,124459,Comedy,New Line Cinema,30000000,27437881,"After breaking up with his longtime stage partner, a famous but jaded Vegas magician fights for relevance when a new, ""hip"" street magician appears on the scene.",2013-03-14,-9.337889467484752
Epic,116711,Animation,Blue Sky Studios,100000000,268426634,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world -- and ours.,2013-05-15,62.745872676703165
Homefront,204082,Action,Millennium Films,22000000,43058898,"Phil Broker is a former DEA agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss' son. He is recently widowed and is left with a 9-years-old daughter,Maddy. He decides to quit the turbulent and demanding life of thrill for Maddy's sake and retires to a small town. His daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past history with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands.",2013-11-27,48.90719219056651
Safe Haven,112949,Romance,Relativity Media,28000000,97594140,"A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.",2013-02-07,71.30975281917542
Mud,103731,Drama,Everest Entertainment,10000000,21587700,Two teenage boys encounter a fugitive and make a pact to help him escape from an island in the Mississippi.,2013-05-01,53.67732551406588
The Adventurer: The Curse of the Midas Box,227707,Fantasy,Umedia,25000000,6399,"17-year-old Mariah Mundi's life is turned upside down when his parents vanish and his younger brother is kidnapped. Following a trail of clues to the darkly majestic Prince Regent Hotel, Mariah discovers a hidden realm of child-stealing monsters, deadly secrets and a long-lost artifact that grants limitless wealth – but also devastating supernatural power. With the fate of his world, and his family at stake, Mariah will risk everything to unravel the Curse of the Midas Box.",2013-12-05,-390586.0446944835
Welcome to the Punch,93828,Action,Worldview Entertainment,8500000,9747,"When notorious criminal Jacob Sternwood is forced to return to London, it gives detective Max Lewinsky one last chance to take down the man he's always been after.",2013-03-15,-87106.3198933005
Alan Partridge: Alpha Papa,177699,Crime,British Film Institute (BFI),4000000,9800000,"Alan Partridge has had many ups and downs in life. National television broadcaster. Responsible for killing a guest on live TV. Local radio broadcaster. Nervous breakdown in Dundee. A self-published book, 'Bouncing Back', which was subsequently remaindered and pulped. Alan Partridge: Alpha Papa portrays the events of the greatest low-to-high ebb spectrum in his life to date, namely how he tries to salvage his public career while negotiating a potentially violent turn of events at North Norfolk Digital Radio.",2013-07-24,59.183673469387756
Grown Ups 2,109418,Comedy,Columbia Pictures,80000000,246984278,"The all-star comedy cast from Grown Ups returns (with some exciting new additions) for more summertime laughs. Lenny (Adam Sandler) has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises: the last day of school.",2013-07-11,67.60927430368665
Beautiful Creatures,109491,Fantasy,Alcon Entertainment,60000000,60052138,"Ethan Wate just wants to get to know Lena Duchannes better, but unbeknownst to him, Lena has strange powers.  As Lena's 16th birthday approaches she might decide her fate, to be good or evil.  A choice which will impact her relationship forever.",2013-02-13,0.08682122191885991
21 & Over,107811,Comedy,Mandeville Films,13000000,48065672,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",2013-03-01,72.95367055307163
Man of Tai Chi,76544,Action,China Film Group Corporation (CFGC),25000000,2054941,"In Beijing, a young martial artist's skill places him in position to experience opportunities and sacrifices.",2013-07-04,-1116.579940737958
The Secret Life of Walter Mitty,116745,Adventure,Ingenious Media,90000000,188133322,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,2013-12-18,52.16158464474464
Cloudy with a Chance of Meatballs 2,109451,Animation,Sony Pictures,78000000,248384621,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",2013-09-26,68.59708959195183
No One Lives,123109,Horror,Pathe,2900000,74918,A gang of ruthless highway killers kidnap a wealthy couple traveling cross country only to shockingly discover that things are not what they seem.,2013-03-09,-3770.8988494086866
John Wick,245891,Action,Summit Entertainment,20000000,88761661,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,2014-10-22,77.46774927972562
The Maze Runner,198663,Action,Ingenious Media,34000000,348300000,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",2014-09-10,90.2383003158197
Let's Be Cops,193893,Comedy,WideAwake,17000000,136621271,"It's the ultimate buddy cop movie except for one thing: they're not cops.  When two struggling pals dress as police officers for a costume party, they become neighborhood sensations.  But when these newly-minted “heroes” get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",2014-08-13,87.55684244805482
Seventh Son,68737,Adventure,China Film Co.,95000000,114178613,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?",2014-12-12,16.7970274783422
The Fault in Our Stars,222935,Romance,TSG Entertainment,12000000,307166834,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",2014-05-16,96.09332822696607
